n,d,Q,R,sspl_lb,bdr,mgr,sspl,node,time
10,3,2,0,150,basic,minmax,150,16,0.000247
12,3,2,2,252,basic,minmax,252,70,0.001042
14,3,2,4,378,basic,minmax,378,1300,0.039399
16,3,2,6,528,basic,minmax,528,76427,1.77166
5,4,1,0,20,basic,minmax,20,7,8.2e-05
6,4,1,1,36,basic,minmax,36,46,0.000404
7,4,1,2,56,basic,minmax,56,119,0.001138
8,4,1,3,80,basic,minmax,80,390,0.003939
9,4,1,4,108,basic,minmax,108,83,0.001063
10,4,1,5,140,basic,minmax,140,938,0.015189
6,5,1,0,30,basic,minmax,30,11,0.000125
8,5,1,2,72,basic,minmax,72,684,0.006463
4,3,1,0,12,cycle,basic,12,4,3.7e-05
6,3,1,2,42,cycle,basic,42,23,8.7e-05
8,3,1,4,88,cycle,basic,88,407,0.00103
10,3,2,0,150,cycle,basic,150,16,8.9e-05
12,3,2,2,252,cycle,basic,252,130,0.000415
14,3,2,4,378,cycle,basic,378,3269,0.010401
16,3,2,6,528,cycle,basic,528,309137,1.15669
5,4,1,0,20,cycle,basic,20,7,5.6e-05
6,4,1,1,36,cycle,basic,36,36,0.000142
7,4,1,2,56,cycle,basic,56,59,0.000204
8,4,1,3,80,cycle,basic,80,151,0.000546
9,4,1,4,108,cycle,basic,108,117,0.000366
10,4,1,5,140,cycle,basic,140,10044,0.093893
6,5,1,0,30,cycle,basic,30,11,0.00017
8,5,1,2,72,cycle,basic,72,309,0.001124
4,3,1,0,12,cycle,minmax,12,4,5.1e-05
6,3,1,2,42,cycle,minmax,42,22,0.000355
8,3,1,4,88,cycle,minmax,88,70,0.000904
10,3,2,0,150,cycle,minmax,150,16,0.00047
12,3,2,2,252,cycle,minmax,252,130,0.001839
14,3,2,4,378,cycle,minmax,378,1969,0.117941
16,3,2,6,528,basic,minmax,528,76427,1.86144
5,4,1,0,20,cycle,minmax,20,7,8.3e-05
6,4,1,1,36,cycle,minmax,36,36,0.000357
7,4,1,2,56,cycle,minmax,56,58,0.000617
8,4,1,3,80,cycle,minmax,80,101,0.001166
9,4,1,4,108,cycle,minmax,108,37,0.000497
10,4,1,5,140,cycle,minmax,140,520,0.016356
6,5,1,0,30,cycle,minmax,30,11,0.000129
8,5,1,2,72,cycle,minmax,72,308,0.003164
4,3,1,0,12,stree,basic,12,4,6.9e-05
6,3,1,2,42,stree,basic,42,9,5.3e-05
8,3,1,4,88,stree,basic,88,16,7.4e-05
10,3,2,0,150,stree,basic,150,16,9e-05
12,3,2,2,252,stree,basic,252,27,0.000115
14,3,2,4,378,stree,basic,378,58,0.000395
16,3,2,6,528,stree,basic,528,184,0.000781
5,4,1,0,20,stree,basic,20,7,8e-05
6,4,1,1,36,stree,basic,36,23,0.000102
7,4,1,2,56,stree,basic,56,45,0.000201
8,4,1,3,80,stree,basic,80,19,0.000108
9,4,1,4,108,stree,basic,108,38,0.000169
10,4,1,5,140,stree,basic,140,45,0.000171
6,5,1,0,30,stree,basic,30,11,8.8e-05
8,5,1,2,72,stree,basic,72,224,0.001386
4,3,1,0,12,stree,minmax,12,4,8.6e-05
6,3,1,2,42,stree,minmax,42,9,0.000266
8,3,1,4,88,stree,minmax,88,15,0.000189
10,3,2,0,150,stree,minmax,150,16,0.000315
12,3,2,2,252,stree,minmax,252,27,0.000485
14,3,2,4,378,stree,minmax,378,51,0.000994
16,3,2,6,528,stree,minmax,528,69,0.001457
5,4,1,0,20,stree,minmax,20,7,9.4e-05
6,4,1,1,36,stree,minmax,36,23,0.000264
7,4,1,2,56,stree,minmax,56,45,0.000424
8,4,1,3,80,stree,minmax,80,19,0.000358
9,4,1,4,108,stree,minmax,108,32,0.000423
10,4,1,5,140,stree,minmax,140,38,0.000567
6,5,1,0,30,stree,minmax,30,11,0.000137
8,5,1,2,72,stree,minmax,72,224,0.002276
4,3,1,0,12,basic,basic,12,4,3.6e-05
6,3,1,2,42,basic,basic,42,44,0.00014
8,3,1,4,88,basic,basic,88,642,0.00197
10,3,2,0,150,basic,basic,150,16,9.4e-05
12,3,2,2,252,basic,basic,252,76,0.000258
14,3,2,4,378,basic,basic,378,3950,0.039982
16,3,2,6,528,cycle,minmax,528,22587,0.779745
5,4,1,0,20,basic,basic,20,7,0.000115
6,4,1,1,36,basic,basic,36,46,0.00021
7,4,1,2,56,basic,basic,56,131,0.000395
8,4,1,3,80,basic,basic,80,670,0.001785
9,4,1,4,108,basic,basic,108,506,0.001581
10,4,1,5,140,basic,basic,140,38126,0.277476
6,5,1,0,30,basic,basic,30,11,9.4e-05
8,5,1,2,72,basic,basic,72,711,0.00206
4,3,1,0,12,basic,minmax,12,4,4.9e-05
6,3,1,2,42,basic,minmax,42,38,0.000392
8,3,1,4,88,basic,minmax,88,78,0.000911
10,3,2,0,150,basic,minmax,150,16,0.000249
12,3,2,2,252,basic,minmax,252,70,0.001023
14,3,2,4,378,basic,minmax,378,1300,0.047379
16,3,2,6,528,basic,minmax,528,76427,1.77679
5,4,1,0,20,basic,minmax,20,7,8.4e-05
6,4,1,1,36,basic,minmax,36,46,0.00038
7,4,1,2,56,basic,minmax,56,119,0.001077
8,4,1,3,80,basic,minmax,80,390,0.003926
9,4,1,4,108,basic,minmax,108,83,0.00109
10,4,1,5,140,basic,minmax,140,938,0.016204
6,5,1,0,30,basic,minmax,30,11,0.000129
8,5,1,2,72,basic,minmax,72,684,0.006539
4,3,1,0,12,cycle,basic,12,4,3.7e-05
6,3,1,2,42,cycle,basic,42,23,8.4e-05
8,3,1,4,88,cycle,basic,88,407,0.001032
10,3,2,0,150,cycle,basic,150,16,8.8e-05
12,3,2,2,252,cycle,basic,252,130,0.000396
14,3,2,4,378,cycle,basic,378,3269,0.020156
16,3,2,6,528,cycle,basic,528,309137,1.08132
5,4,1,0,20,cycle,basic,20,7,5.4e-05
6,4,1,1,36,cycle,basic,36,36,0.00014
7,4,1,2,56,cycle,basic,56,59,0.000212
8,4,1,3,80,cycle,basic,80,151,0.00044
9,4,1,4,108,cycle,basic,108,117,0.000436
10,4,1,5,140,cycle,basic,140,10044,0.115328
6,5,1,0,30,cycle,basic,30,11,0.000109
8,5,1,2,72,cycle,basic,72,309,0.001027
4,3,1,0,12,cycle,minmax,12,4,4.7e-05
6,3,1,2,42,cycle,minmax,42,22,0.000203
8,3,1,4,88,cycle,minmax,88,70,0.000833
10,3,2,0,150,cycle,minmax,150,16,0.000252
12,3,2,2,252,cycle,minmax,252,130,0.001826
14,3,2,4,378,cycle,minmax,378,1969,0.179286
16,3,2,6,528,cycle,minmax,528,22587,0.592854
5,4,1,0,20,cycle,minmax,20,7,8.2e-05
6,4,1,1,36,cycle,minmax,36,36,0.000324
7,4,1,2,56,cycle,minmax,56,58,0.000524
8,4,1,3,80,cycle,minmax,80,101,0.001252
9,4,1,4,108,cycle,minmax,108,37,0.000505
10,4,1,5,140,cycle,minmax,140,520,0.007541
6,5,1,0,30,cycle,minmax,30,11,0.000194
8,5,1,2,72,cycle,minmax,72,308,0.002956
4,3,1,0,12,stree,basic,12,4,4.5e-05
6,3,1,2,42,stree,basic,42,9,5.2e-05
8,3,1,4,88,stree,basic,88,16,7.1e-05
10,3,2,0,150,stree,basic,150,16,8.4e-05
12,3,2,2,252,stree,basic,252,27,0.000113
14,3,2,4,378,stree,basic,378,58,0.000198
16,3,2,6,528,stree,basic,528,184,0.00069
5,4,1,0,20,stree,basic,20,7,6.1e-05
6,4,1,1,36,stree,basic,36,23,0.000104
7,4,1,2,56,stree,basic,56,45,0.00016
8,4,1,3,80,stree,basic,80,19,8.9e-05
9,4,1,4,108,stree,basic,108,38,0.000148
10,4,1,5,140,stree,basic,140,45,0.000166
6,5,1,0,30,stree,basic,30,11,8.7e-05
8,5,1,2,72,stree,basic,72,224,0.000712
4,3,1,0,12,stree,minmax,12,4,5.6e-05
6,3,1,2,42,stree,minmax,42,9,0.000171
8,3,1,4,88,stree,minmax,88,15,0.000187
10,3,2,0,150,stree,minmax,150,16,0.000266
12,3,2,2,252,stree,minmax,252,27,0.000474
14,3,2,4,378,stree,minmax,378,51,0.000931
16,3,2,6,528,stree,minmax,528,69,0.001504
5,4,1,0,20,stree,minmax,20,7,0.000136
6,4,1,1,36,stree,minmax,36,23,0.000242
7,4,1,2,56,stree,minmax,56,45,0.00042
8,4,1,3,80,stree,minmax,80,19,0.000253
9,4,1,4,108,stree,minmax,108,32,0.000426
10,4,1,5,140,stree,minmax,140,38,0.000562
6,5,1,0,30,stree,minmax,30,11,0.000137
8,5,1,2,72,stree,minmax,72,224,0.00217
4,3,1,0,12,basic,basic,12,4,3.3e-05
6,3,1,2,42,basic,basic,42,44,0.000164
8,3,1,4,88,basic,basic,88,642,0.001834
10,3,2,0,150,basic,basic,150,16,0.000161
12,3,2,2,252,basic,basic,252,76,0.000235
14,3,2,4,378,basic,basic,378,3950,0.018517
16,3,2,6,528,basic,basic,528,4066148,14.5887
5,4,1,0,20,basic,basic,20,7,5.3e-05
6,4,1,1,36,basic,basic,36,46,0.000162
7,4,1,2,56,basic,basic,56,131,0.000467
8,4,1,3,80,basic,basic,80,670,0.001771
9,4,1,4,108,basic,basic,108,506,0.00153
10,4,1,5,140,basic,basic,140,38126,0.263678
6,5,1,0,30,basic,basic,30,11,7.7e-05
8,5,1,2,72,basic,basic,72,711,0.002075
4,3,1,0,12,basic,minmax,12,4,4.7e-05
6,3,1,2,42,basic,minmax,42,38,0.000334
8,3,1,4,88,basic,minmax,88,78,0.0009
10,3,2,0,150,basic,minmax,150,16,0.000247
12,3,2,2,252,basic,minmax,252,70,0.001113
14,3,2,4,378,basic,minmax,378,1300,0.045152
16,3,2,6,528,basic,basic,528,4066148,14.6127
5,4,1,0,20,basic,minmax,20,7,7.8e-05
6,4,1,1,36,basic,minmax,36,46,0.000386
7,4,1,2,56,basic,minmax,56,119,0.001035
8,4,1,3,80,basic,minmax,80,390,0.003933
9,4,1,4,108,basic,minmax,108,83,0.001081
10,4,1,5,140,basic,minmax,140,938,0.014525
6,5,1,0,30,basic,minmax,30,11,0.000127
8,5,1,2,72,basic,minmax,72,684,0.006337
4,3,1,0,12,cycle,basic,12,4,3.5e-05
6,3,1,2,42,cycle,basic,42,23,0.000114
8,3,1,4,88,cycle,basic,88,407,0.001074
10,3,2,0,150,cycle,basic,150,16,9.1e-05
12,3,2,2,252,cycle,basic,252,130,0.000461
14,3,2,4,378,cycle,basic,378,3269,0.020065
16,3,2,6,528,basic,minmax,528,76427,1.72049
5,4,1,0,20,cycle,basic,20,7,5.4e-05
6,4,1,1,36,cycle,basic,36,36,0.000136
7,4,1,2,56,cycle,basic,56,59,0.000195
8,4,1,3,80,cycle,basic,80,151,0.000444
9,4,1,4,108,cycle,basic,108,117,0.0004
10,4,1,5,140,cycle,basic,140,10044,0.08326
