n,d,Q,R,sspl_lb,bdr,mgr,srt,sspl,edge,node,time
8,5,1,2,72,stree,minmax,basic,72,19,224,0.004074
4,3,1,0,12,basic,basic,basic,12,3,4,3.8e-05
6,3,1,2,42,basic,basic,basic,42,10,44,0.000137
10,3,2,0,150,basic,basic,basic,150,15,16,9.1e-05
8,3,1,4,88,basic,basic,basic,88,21,642,0.003174
12,3,2,2,252,basic,basic,basic,252,28,76,0.000235
14,3,2,4,378,basic,basic,basic,378,45,3950,0.026549
5,4,1,0,20,basic,basic,basic,20,6,7,5.6e-05
6,4,1,1,36,basic,basic,basic,36,10,46,0.000164
7,4,1,2,56,basic,basic,basic,56,15,131,0.000373
8,4,1,3,80,basic,basic,basic,80,21,670,0.003013
9,4,1,4,108,basic,basic,basic,108,28,506,0.001372
10,4,1,5,140,basic,basic,basic,140,36,38126,0.265881
6,5,1,0,30,basic,basic,basic,30,10,11,7.4e-05
8,5,1,2,72,basic,basic,basic,72,21,711,0.002075
4,3,1,0,12,basic,minmax,basic,12,3,4,4.8e-05
6,3,1,2,42,basic,minmax,basic,42,10,38,0.000339
8,3,1,4,88,basic,minmax,basic,88,21,78,0.000893
10,3,2,0,150,basic,minmax,basic,150,15,16,0.000246
12,3,2,2,252,basic,minmax,basic,252,28,70,0.001038
14,3,2,4,378,basic,minmax,basic,378,45,1300,0.054616
16,3,2,6,528,basic,minmax,basic,528,66,76427,1.82014
5,4,1,0,20,basic,minmax,basic,20,6,7,8.1e-05
6,4,1,1,36,basic,minmax,basic,36,10,46,0.000401
7,4,1,2,56,basic,minmax,basic,56,15,119,0.001115
8,4,1,3,80,basic,minmax,basic,80,21,390,0.004027
9,4,1,4,108,basic,minmax,basic,108,28,83,0.001078
10,4,1,5,140,basic,minmax,basic,140,36,938,0.012603
6,5,1,0,30,basic,minmax,basic,30,10,11,0.000123
8,5,1,2,72,basic,minmax,basic,72,21,684,0.006414
4,3,1,0,12,cycle,basic,sorted,12,3,4,3.6e-05
6,3,1,2,42,cycle,basic,sorted,42,8,20,7.5e-05
8,3,1,4,88,cycle,basic,sorted,88,19,116,0.000291
10,3,2,0,150,cycle,basic,sorted,150,15,16,8.9e-05
12,3,2,2,252,cycle,basic,sorted,252,26,60,0.000228
14,3,2,4,378,cycle,basic,sorted,378,43,1765,0.005517
16,3,2,6,528,cycle,basic,sorted,528,64,100368,0.535729
5,4,1,0,20,cycle,basic,sorted,20,6,7,5.5e-05
6,4,1,1,36,cycle,basic,sorted,36,8,44,0.000156
7,4,1,2,56,cycle,basic,sorted,56,13,65,0.000378
8,4,1,3,80,cycle,basic,sorted,80,19,248,0.001267
9,4,1,4,108,cycle,basic,sorted,108,26,1004,0.002664
10,4,1,5,140,cycle,basic,sorted,140,34,6015,0.026794
6,5,1,0,30,cycle,basic,sorted,30,10,11,8e-05
8,5,1,2,72,cycle,basic,sorted,72,19,360,0.001298
4,3,1,0,12,cycle,minmax,sorted,12,3,4,4.7e-05
6,3,1,2,42,cycle,minmax,sorted,42,8,19,0.000394
8,3,1,4,88,cycle,minmax,sorted,88,19,52,0.000738
10,3,2,0,150,cycle,minmax,sorted,150,15,16,0.000378
12,3,2,2,252,cycle,minmax,sorted,252,26,60,0.000999
14,3,2,4,378,cycle,minmax,sorted,378,43,1000,0.047779
16,3,2,6,528,cycle,minmax,sorted,528,64,4124,0.273337
5,4,1,0,20,cycle,minmax,sorted,20,6,7,8.2e-05
6,4,1,1,36,cycle,minmax,sorted,36,8,44,0.000364
