n,p-or-m,type,seed,m,test,time-igraph,time
1000,0.6,random,875611073,299588,1,2.71046,0.05877
600,0.1,random,310026885,18231,1,0.10882,0.017896
1000,20,scale-free,3473799494,19979,1,0.205373,0.050599
1000,0.1,random,1562702817,49419,1,0.457319,0.051337
600,0.3,random,647747667,54110,1,0.275468,0.018277
600,0.9,random,975184348,161751,1,0.80108,0.01927
1000,0.9,random,699979111,449525,1,3.71281,0.056331
10,3,scale-free,2530582694,26,1,1.4e-05,7e-06
10,6,scale-free,1961709734,53,1,1.7e-05,7e-06
50,3,scale-free,2222620578,146,1,0.000194,0.000104
50,6,scale-free,890354536,293,1,0.000264,8.8e-05
50,10,scale-free,3232300000,489,1,0.000696,0.000222
50,15,scale-free,2347560878,734,1,0.000453,0.000127
50,20,scale-free,3938636358,979,1,0.000531,9.2e-05
100,3,scale-free,3685526948,296,1,0.001342,0.000816
100,6,scale-free,4061164632,593,1,0.00191,0.000893
100,10,scale-free,1499511618,989,1,0.001087,0.000539
100,15,scale-free,3254517019,1484,1,0.00172,0.000404
100,20,scale-free,3205257774,1979,1,0.002217,0.000584
300,3,scale-free,702470786,896,1,0.006331,0.00452
300,6,scale-free,1358529751,1793,1,0.008652,0.005716
300,10,scale-free,1005103616,2989,1,0.012002,0.004052
600,0.6,random,997111640,107673,1,0.527817,0.017976
1000,15,scale-free,3932922484,14984,1,0.17244,0.049015
600,3,scale-free,3619928251,1796,1,0.02546,0.01904
600,6,scale-free,1039327258,3593,1,0.035131,0.027709
300,15,scale-free,3574202175,4484,1,0.013601,0.004146
300,20,scale-free,961697682,5979,1,0.018772,0.004503
600,10,scale-free,908391606,5989,1,0.048626,0.025659
1000,3,scale-free,2293718299,2996,1,0.06985,0.057681
1000,6,scale-free,1368452727,5993,1,0.097666,0.05093
600,15,scale-free,2307252557,8984,1,0.063535,0.023106
1000,0.3,random,2760669153,149892,1,1.42238,0.054748
1000,0.6,random,875611073,299588,1,2.77948,0.051674
10,0.1,random,1636523965,1,1,7e-06,6e-06
10,0.3,random,2173888152,14,1,1.5e-05,1e-05
10,0.6,random,1110486666,30,1,1.9e-05,1.1e-05
10,0.9,random,333050915,41,1,1.4e-05,9e-06
50,0.1,random,1576857695,131,1,0.0002,0.000164
50,0.3,random,656588917,370,1,0.0003,9.7e-05
50,0.6,random,3075396009,729,1,0.000448,0.000103
50,0.9,random,971085403,1109,1,0.000579,9.2e-05
100,0.1,random,1442263803,480,1,0.003835,0.001758
100,0.3,random,2393893874,1446,1,0.004294,0.000725
100,0.6,random,2968655173,2926,1,0.005091,0.00094
100,0.9,random,3758907005,4441,1,0.008231,0.000845
300,0.1,random,1697612666,4457,1,0.01627,0.004884
1000,10,scale-free,3403357323,9989,1,0.134962,0.047957
300,0.3,random,1560778219,13452,1,0.038078,0.004739
300,0.9,random,279334744,40451,1,0.105362,0.004377
300,0.6,random,243882552,26987,1,0.070622,0.003928
600,0.1,random,310026885,18231,1,0.11457,0.018056
600,20,scale-free,3472465246,11979,1,0.075934,0.018112
600,0.3,random,647747667,54110,1,0.296979,0.031653
1000,20,scale-free,3473799494,19979,1,0.207894,0.048696
1000,0.1,random,1562702817,49419,1,0.472245,0.051261
600,0.9,random,975184348,161751,1,0.812237,0.018085
600,0.6,random,997111640,107673,1,0.578429,0.018736
10,3,scale-free,2530582694,26,1,1.6e-05,6e-06
10,6,scale-free,1961709734,53,1,1.7e-05,7e-06
50,3,scale-free,2222620578,146,1,0.00018,8e-05
50,6,scale-free,890354536,293,1,0.000244,9e-05
50,10,scale-free,3232300000,489,1,0.000679,0.000186
50,15,scale-free,2347560878,734,1,0.000915,0.000194
50,20,scale-free,3938636358,979,1,0.000538,0.000101
100,3,scale-free,3685526948,296,1,0.001501,0.000897
100,6,scale-free,4061164632,593,1,0.001984,0.000773
100,10,scale-free,1499511618,989,1,0.001289,0.000443
1000,0.9,random,699979111,449525,1,3.82429,0.052091
100,15,scale-free,3254517019,1484,1,0.001726,0.000433
300,3,scale-free,702470786,896,1,0.006172,0.004531
300,6,scale-free,1358529751,1793,1,0.008723,0.009635
100,20,scale-free,3205257774,1979,1,0.002143,0.000422
300,10,scale-free,1005103616,2989,1,0.012073,0.005293
1000,15,scale-free,3932922484,14984,1,0.172064,0.051907
600,3,scale-free,3619928251,1796,1,0.025353,0.024446
300,15,scale-free,3574202175,4484,1,0.014402,0.004337
600,6,scale-free,1039327258,3593,1,0.035267,0.02029
600,10,scale-free,908391606,5989,1,0.048562,0.019378
300,20,scale-free,961697682,5979,1,0.019612,0.004328
1000,3,scale-free,2293718299,2996,1,0.072513,0.053196
1000,6,scale-free,1368452727,5993,1,0.100304,0.064004
600,15,scale-free,2307252557,8984,1,0.064127,0.020007
1000,0.3,random,2760669153,149892,1,1.47687,0.049637
1000,0.6,random,875611073,299588,1,2.7699,0.074166
10,0.1,random,1636523965,1,1,1.4e-05,1e-05
10,0.3,random,2173888152,14,1,1.3e-05,1e-05
10,0.6,random,1110486666,30,1,1.4e-05,1.1e-05
10,0.9,random,333050915,41,1,1.8e-05,1.4e-05
50,0.1,random,1576857695,131,1,0.000207,0.000173
50,0.3,random,656588917,370,1,0.000297,0.000106
50,0.6,random,3075396009,729,1,0.000437,0.000152
50,0.9,random,971085403,1109,1,0.000573,0.000103
100,0.1,random,1442263803,480,1,0.001902,0.000999
100,0.3,random,2393893874,1446,1,0.003546,0.000794
100,0.6,random,2968655173,2926,1,0.008506,0.001228
100,0.9,random,3758907005,4441,1,0.012631,0.001299
300,0.1,random,1697612666,4457,1,0.015427,0.004463
300,0.3,random,1560778219,13452,1,0.037598,0.004703
300,0.6,random,243882552,26987,1,0.070076,0.006085
1000,10,scale-free,3403357323,9989,1,0.137682,0.051673
300,0.9,random,279334744,40451,1,0.10025,0.006396
600,0.1,random,310026885,18231,1,0.116343,0.028213
600,20,scale-free,3472465246,11979,1,0.078066,0.023411
600,0.3,random,647747667,54110,1,0.281418,0.020283
1000,20,scale-free,3473799494,19979,1,0.207511,0.049874
1000,0.1,random,1562702817,49419,1,0.457531,0.058523
600,0.9,random,975184348,161751,1,0.816228,0.027376
600,0.6,random,997111640,107673,1,0.52412,0.024924
10,3,scale-free,2530582694,26,1,1.7e-05,9e-06
10,6,scale-free,1961709734,53,1,2e-05,6e-06
50,3,scale-free,2222620578,146,1,0.000163,9.9e-05
50,6,scale-free,890354536,293,1,0.000237,0.00037
50,10,scale-free,3232300000,489,1,0.000667,0.000184
50,15,scale-free,2347560878,734,1,0.000384,0.000135
50,20,scale-free,3938636358,979,1,0.000562,0.000113
100,3,scale-free,3685526948,296,1,0.001354,0.000701
100,6,scale-free,4061164632,593,1,0.003068,0.001204
1000,0.9,random,699979111,449525,1,3.70399,0.060751
100,10,scale-free,1499511618,989,1,0.001316,0.000396
100,15,scale-free,3254517019,1484,1,0.001766,0.000454
300,3,scale-free,702470786,896,1,0.005892,0.004911
100,20,scale-free,3205257774,1979,1,0.002156,0.000409
300,6,scale-free,1358529751,1793,1,0.007489,0.006101
300,10,scale-free,1005103616,2989,1,0.01227,0.004239
1000,15,scale-free,3932922484,14984,1,0.173807,0.051155
300,15,scale-free,3574202175,4484,1,0.013262,0.003837
600,3,scale-free,3619928251,1796,1,0.025661,0.018883
600,6,scale-free,1039327258,3593,1,0.032761,0.021991
300,20,scale-free,961697682,5979,1,0.017757,0.005224
600,10,scale-free,908391606,5989,1,0.045927,0.018072
1000,3,scale-free,2293718299,2996,1,0.071789,0.05307
1000,6,scale-free,1368452727,5993,1,0.097899,0.049155
600,15,scale-free,2307252557,8984,1,0.062539,0.017834
1000,0.3,random,2760669153,149892,1,1.34275,0.049811
1000,10,scale-free,3403357323,9989,1,0.135541,0.050168
10,0.1,random,1636523965,1,1,7e-06,7e-06
10,0.3,random,2173888152,14,1,1.5e-05,1.4e-05
10,0.6,random,1110486666,30,1,1.7e-05,1.2e-05
10,0.9,random,333050915,41,1,1.5e-05,1e-05
50,0.1,random,1576857695,131,1,0.000202,0.000167
50,0.3,random,656588917,370,1,0.000298,9.6e-05
50,0.6,random,3075396009,729,1,0.000569,0.000107
50,0.9,random,971085403,1109,1,0.000578,0.000104
100,0.1,random,1442263803,480,1,0.001967,0.001019
100,0.3,random,2393893874,1446,1,0.005131,0.001254
100,0.6,random,2968655173,2926,1,0.006015,0.000919
100,0.9,random,3758907005,4441,1,0.012525,0.001154
300,0.1,random,1697612666,4457,1,0.015832,0.00474
300,0.3,random,1560778219,13452,1,0.033054,0.00464
300,0.6,random,243882552,26987,1,0.068026,0.005816
1000,0.6,random,875611073,299588,1,2.74574,0.05858
300,0.9,random,279334744,40451,1,0.105786,0.004346
600,0.1,random,310026885,18231,1,0.113653,0.028208
600,20,scale-free,3472465246,11979,1,0.075726,0.028057
600,0.3,random,647747667,54110,1,0.287803,0.017695
1000,20,scale-free,3473799494,19979,1,0.210601,0.048787
1000,0.1,random,1562702817,49419,1,0.465022,0.067263
600,0.9,random,975184348,161751,1,0.81133,0.027946
1000,0.9,random,699979111,449525,1,3.83021,0.051997
10,3,scale-free,2530582694,26,1,1.6e-05,7e-06
10,6,scale-free,1961709734,53,1,1.7e-05,6e-06
50,3,scale-free,2222620578,146,1,0.000175,8.4e-05
50,6,scale-free,890354536,293,1,0.00024,9.5e-05
50,10,scale-free,3232300000,489,1,0.000651,0.000169
50,15,scale-free,2347560878,734,1,0.00045,9.9e-05
50,20,scale-free,3938636358,979,1,0.000513,0.000114
100,3,scale-free,3685526948,296,1,0.00144,0.000795
100,6,scale-free,4061164632,593,1,0.004842,0.001701
100,10,scale-free,1499511618,989,1,0.001104,0.000459
600,0.6,random,997111640,107673,1,0.540816,0.017338
100,15,scale-free,3254517019,1484,1,0.001735,0.000536
300,3,scale-free,702470786,896,1,0.00598,0.004583
100,20,scale-free,3205257774,1979,1,0.001998,0.000465
300,6,scale-free,1358529751,1793,1,0.008751,0.005199
1000,15,scale-free,3932922484,14984,1,0.176142,0.050421
300,10,scale-free,1005103616,2989,1,0.011973,0.005305
600,3,scale-free,3619928251,1796,1,0.02667,0.018776
600,6,scale-free,1039327258,3593,1,0.035229,0.025446
300,15,scale-free,3574202175,4484,1,0.015555,0.004208
300,20,scale-free,961697682,5979,1,0.017819,0.003925
600,10,scale-free,908391606,5989,1,0.04836,0.022144
1000,3,scale-free,2293718299,2996,1,0.07235,0.054667
