n,d,Q,R,sspl_lb,sspl,edge,node,time
38,5,2,12,3078,3078,484,18674934,1052.09
42,5,2,16,3906,3906,614,16651630,1175.02
40,5,2,14,3480,3480,547,111587467,6586.69
