n,d,Q,R,sspl_lb,ginitr,sorted,sinitr,n_graph,sspl_max,sspl_min,n_edge,n_state,time
6,4,1,1,36,cycle,basic,minmax,3,36,36,8,40,0.00026
7,4,1,2,56,cycle,basic,minmax,17,56,56,13,366,0.002407
8,4,1,3,80,cycle,basic,minmax,175,80,80,19,4459,0.089214
9,4,1,4,108,cycle,basic,minmax,3000,108,108,26,62588,0.606566
10,4,1,5,140,cycle,basic,minmax,36966,140,140,34,849497,8.5741
16,3,2,6,528,cycle,basic,minmax,50400,528,528,64,4818153,83.6951
4,3,1,0,12,stree,basic,basic,1,12,12,3,5,4.4e-05
6,3,1,2,42,stree,basic,basic,4,42,42,8,39,0.000117
8,3,1,4,88,stree,basic,basic,11,88,88,13,210,0.000594
10,3,2,0,150,stree,basic,basic,4,150,150,15,93,0.000261
12,3,2,2,252,stree,basic,basic,24,252,252,26,1132,0.002907
14,3,2,4,378,stree,basic,basic,340,378,378,41,12855,0.116558
16,3,2,6,528,stree,basic,basic,1264,528,528,60,209510,0.670836
5,4,1,0,20,stree,basic,basic,1,20,20,6,12,6.1e-05
6,4,1,1,36,stree,basic,basic,3,36,36,9,61,0.000175
7,4,1,2,56,stree,basic,basic,19,56,56,13,372,0.000944
8,4,1,3,80,stree,basic,basic,148,80,80,18,2700,0.006517
9,4,1,4,108,stree,basic,basic,1311,108,108,24,23069,0.112183
10,4,1,5,140,stree,basic,basic,6021,140,140,31,177294,0.538823
11,4,1,6,176,stree,basic,basic,15102,176,176,39,1495258,3.88309
4,3,1,0,12,stree,basic,matrix,1,12,12,3,4,3.6e-05
6,3,1,2,42,stree,basic,matrix,4,42,42,8,39,0.000191
8,3,1,4,88,stree,basic,matrix,11,88,88,13,156,0.000939
10,3,2,0,150,stree,basic,matrix,4,150,150,15,67,0.000615
12,3,2,2,252,stree,basic,matrix,24,252,252,26,1132,0.014984
14,3,2,4,378,stree,basic,matrix,340,378,378,41,11944,0.23084
16,3,2,6,528,stree,basic,matrix,1264,528,528,60,110917,2.09776
5,4,1,0,20,stree,basic,matrix,1,20,20,6,7,4.9e-05
6,4,1,1,36,stree,basic,matrix,3,36,36,9,61,0.000278
7,4,1,2,56,stree,basic,matrix,19,56,56,13,372,0.001815
8,4,1,3,80,stree,basic,matrix,148,80,80,18,2645,0.022842
9,4,1,4,108,stree,basic,matrix,1311,108,108,24,21384,0.222563
10,4,1,5,140,stree,basic,matrix,6021,140,140,31,129492,1.08221
11,4,1,6,176,stree,basic,matrix,15102,176,176,39,637528,5.73027
4,3,1,0,12,stree,basic,minmax,1,12,12,3,4,0.00012
6,3,1,2,42,stree,basic,minmax,4,42,42,8,39,0.000257
8,3,1,4,88,stree,basic,minmax,11,88,88,13,156,0.001225
10,3,2,0,150,stree,basic,minmax,4,150,150,15,67,0.000743
12,3,2,2,252,stree,basic,minmax,24,252,252,26,1132,0.019156
14,3,2,4,378,stree,basic,minmax,340,378,378,41,11944,0.239966
16,3,2,6,528,stree,basic,minmax,1264,528,528,60,110917,1.87518
5,4,1,0,20,stree,basic,minmax,1,20,20,6,7,7.7e-05
6,4,1,1,36,stree,basic,minmax,3,36,36,9,61,0.000387
7,4,1,2,56,stree,basic,minmax,19,56,56,13,372,0.002419
8,4,1,3,80,stree,basic,minmax,148,80,80,18,2645,0.029057
9,4,1,4,108,stree,basic,minmax,1311,108,108,24,21384,0.234975
10,4,1,5,140,stree,basic,minmax,6021,140,140,31,129492,1.33894
11,4,1,6,176,stree,basic,minmax,15102,176,176,39,637528,7.04639
4,3,1,0,12,cycle,sorted,basic,1,12,12,3,5,3.3e-05
6,3,1,2,42,cycle,sorted,basic,3,42,42,8,42,0.000113
8,3,1,4,88,cycle,sorted,basic,24,88,88,19,1366,0.003019
10,3,2,0,150,cycle,sorted,basic,4,150,150,15,75,0.000229
12,3,2,2,252,cycle,sorted,basic,22,252,252,26,714,0.002022
14,3,2,4,378,cycle,sorted,basic,1728,378,378,43,91206,0.343576
11,4,1,6,176,cycle,basic,minmax,265560,176,176,43,9732339,108.018
5,4,1,0,20,cycle,sorted,basic,1,20,20,6,12,5.5e-05
6,4,1,1,36,cycle,sorted,basic,3,36,36,8,27,9.9e-05
7,4,1,2,56,cycle,sorted,basic,17,56,56,13,389,0.000898
8,4,1,3,80,cycle,sorted,basic,175,80,80,19,5812,0.046571
9,4,1,4,108,cycle,sorted,basic,3000,108,108,26,102558,0.341646
10,4,1,5,140,cycle,sorted,basic,36966,140,140,34,2323566,5.96463
16,3,2,6,528,cycle,sorted,basic,50400,528,528,64,24541266,72.8961
4,3,1,0,12,cycle,sorted,matrix,1,12,12,3,4,2.4e-05
6,3,1,2,42,cycle,sorted,matrix,3,42,42,8,41,0.000198
8,3,1,4,88,cycle,sorted,matrix,24,88,88,19,558,0.003536
10,3,2,0,150,cycle,sorted,matrix,4,150,150,15,54,0.000436
12,3,2,2,252,cycle,sorted,matrix,22,252,252,26,713,0.008423
14,3,2,4,378,cycle,sorted,matrix,1728,378,378,43,69857,1.12732
16,3,2,6,528,cycle,sorted,matrix,50400,528,528,64,5031858,92.1425
5,4,1,0,20,cycle,sorted,matrix,1,20,20,6,7,4.1e-05
6,4,1,1,36,cycle,sorted,matrix,3,36,36,8,27,0.000133
7,4,1,2,56,cycle,sorted,matrix,17,56,56,13,385,0.001923
