n,d,Q,R,sspl_lb,bdr,mgr,sspl,node,time
9,4,1,4,108,stree,minmax,108,32,0.0004
10,4,1,5,140,stree,minmax,140,38,0.000473
6,5,1,0,30,stree,minmax,30,11,0.000113
8,5,1,2,72,stree,minmax,72,224,0.001776
18,3,2,8,702,basic,basic,702,11377855243,34072.8
26,3,3,4,1742,basic,basic,1742,6304,0.067182
10,5,1,4,130,basic,basic,130,12042,0.057823
26,3,3,4,1742,basic,minmax,1742,4552,0.187199
11,4,1,6,176,basic,minmax,176,1563,0.055225
10,5,1,4,130,basic,minmax,130,4216,0.068714
26,3,3,4,1742,cycle,basic,1742,423956,1.58788
11,4,1,6,176,basic,basic,176,797508,2.30282
10,5,1,4,130,cycle,basic,130,1506,0.004023
11,4,1,6,176,cycle,basic,176,233024,0.678009
11,4,1,6,176,cycle,minmax,176,1242,0.031948
10,5,1,4,130,cycle,minmax,130,745,0.007543
26,3,3,4,1742,stree,basic,1742,234996,0.883908
11,4,1,6,176,stree,basic,176,135,0.000426
10,5,1,4,130,stree,basic,130,33,0.000123
26,3,3,4,1742,stree,minmax,1742,234299,7.15522
11,4,1,6,176,stree,minmax,176,63,0.00082
10,5,1,4,130,stree,minmax,130,33,0.000435
26,3,3,4,1742,cycle,minmax,1742,415904,12.4166
28,3,3,6,2100,basic,basic,2100,32419015,131.899
12,5,1,6,204,basic,basic,204,302628,1.01376
12,4,1,7,216,basic,basic,216,187884445,527.307
12,4,1,7,216,basic,minmax,216,18295,0.318201
12,5,1,6,204,basic,minmax,204,1577,0.066412
28,3,3,6,2100,cycle,basic,2100,3912683,14.6446
28,3,3,6,2100,basic,minmax,2100,14689015,473.856
12,5,1,6,204,cycle,basic,204,208374,0.694664
28,3,3,6,2100,cycle,minmax,2100,2466435,78.7497
12,4,1,7,216,cycle,minmax,216,205031,2.80447
12,5,1,6,204,cycle,minmax,204,3905,0.128311
28,3,3,6,2100,stree,basic,2100,10855,0.062423
12,4,1,7,216,stree,basic,216,309,0.000987
12,5,1,6,204,stree,basic,204,140,0.000453
28,3,3,6,2100,stree,minmax,2100,10575,0.408962
12,4,1,7,216,stree,minmax,216,88,0.001186
12,5,1,6,204,stree,minmax,204,77,0.001111
12,4,1,7,216,cycle,basic,216,73562055,188.005
